LOADCOMMANDID,ISSUEDATE,DATEOFSERVICE,UPDATETIME,ISPRIMARY,SERVICEPDSTART,PENDESCALATIONFORBULK,ID,DEDUCTIONTYPE,PAYTODENORM,CREATEUSERID,PAYTO,MAILINGADDRESSID,RECURRINGCHECKID,BEANVERSION,RETIRED,BANKACCOUNTTYPE,CHECKINSTRUCTIONS,UPDATEUSERID,INVOICENUMBER,BULKINVOICEITEMINFOID,ACCOUNTNAME,MEMO,PORTIONID,CHECKTYPE,MAILTOADDRESS,PUBLICID,ENTEREDTIME,BANKNAME,CREATETIME,CHECKNUMBER,SERVICEPDEND,BANKROUTINGNUMBER,DELIVERYMETHOD,CLAIMID,GROUPID,SCHEDULEDSENDDATE,REPORTABLEAMOUNT,PAYMENTMETHOD,ARCHIVEPARTITION,CHECKBATCHING,BANKACCOUNT,MAILTO,STATUS,COMMENTS,CHECKSETID,REPORTABILITY,BANKACCOUNTNUMBER,CLAIMCONTACTID
,,,2018-02-27 16:00:02.648,,,0,504,,PETROCELLI MICHAEL,3,PETROCELLI MICHAEL,2115,,1,0,,,2,,,,Claim AA00029,,1,,cc:504,2018-02-27 15:40:17.417,,2018-02-27 15:40:17.417,,,,10003,544,,2018-02-27 00:00:00.000,10000.0,2,,10001,,PETROCELLI MICHAEL,14,,609,1,,648.0
,,,2018-02-27 16:00:04.664,,,0,505,,PETROCELLI MICHAEL,3,PETROCELLI MICHAEL,2120,,2,0,,,2,,,,Claim AA00035,,1,,cc:505,2018-02-27 15:46:58.645,,2018-02-27 15:46:58.645,,,,10003,801,,2018-02-27 00:00:00.000,8000.0,2,,10001,,PETROCELLI MICHAEL,14,,611,1,,901.0
,,,2018-02-27 17:30:02.519,,,0,506,,James Bryns,3,James Bryns,2140,,2,0,,,2,,,,Claim AA00116,,1,,cc:506,2018-02-27 17:12:35.874,,2018-02-27 17:12:35.874,,,,10003,1411,,2018-02-27 00:00:00.000,5000.0,2,,10001,,James Bryns,14,,618,1,,1528.0
,,,2018-02-27 18:30:02.578,,,0,507,,PETROCELLI MICHAEL,3,PETROCELLI MICHAEL,2154,,2,0,,,2,,,,Claim AA00118,,1,,cc:507,2018-02-27 18:10:13.957,,2018-02-27 18:10:13.957,,,,10003,1415,,2018-02-27 00:00:00.000,5000.0,2,,10001,,PETROCELLI MICHAEL,14,,626,1,,1538.0
,,,2018-03-05 17:00:02.575,,,0,601,,James Bryns,3,James Bryns,2215,,2,0,,,2,,,,Claim AA00127,,1,,cc:601,2018-03-05 16:47:35.042,,2018-03-05 16:47:35.042,,,,10003,1504,,2018-03-05 00:00:00.000,6000.0,2,,10001,,James Bryns,14,,702,1,,1610.0
,,,2018-03-06 13:00:02.560,,,0,701,,PETROCELLI MICHAEL,3,PETROCELLI MICHAEL,2311,,1,0,,,2,,,,Claim AA00124,,1,,cc:701,2018-03-06 12:42:23.609,,2018-03-06 12:42:23.609,,,,10003,1501,,2018-03-06 00:00:00.000,7000.0,2,,10001,,PETROCELLI MICHAEL,14,,803,1,,1601.0
,,,2018-03-07 21:36:20.662,,,0,801,,TIM HUMPAL,3,TIM HUMPAL,2413,,1,0,,,2,,,,Claim AA00135,,1,,cc:801,2018-03-07 21:34:38.042,,2018-03-07 21:34:38.042,,,,10003,1608,,2018-03-07 00:00:00.000,25.0,2,,10001,,TIM HUMPAL,14,,903,1,,1721.0
,,,2018-03-07 21:38:33.529,,,0,802,,TIM HUMPAL,3,TIM HUMPAL,2414,,2,0,,,3,,,,Claim AA00135,,1,,cc:802,2018-03-07 21:35:46.914,,2018-03-07 21:35:46.914,F2341234,,,10003,1608,,2018-03-07 00:00:00.000,1120.24,2,,10001,,TIM HUMPAL,14,,904,1,,1721.0
,,,2018-03-14 13:30:02.521,,,0,901,,James Bryns,3,James Bryns,2936,,1,0,,,2,,,,Claim AA00146,,1,,cc:901,2018-03-14 13:26:33.184,,2018-03-14 13:26:33.184,,,,10003,2008,,2018-03-14 00:00:00.000,7000.0,2,,10001,,James Bryns,14,,1102,1,,2130.0
,,,2018-03-15 18:00:02.614,,,0,1001,,zack knight,3,zack knight,3055,,1,0,,,2,,,,Claim AA00166,,1,,cc:1001,2018-03-15 17:48:28.374,,2018-03-15 17:48:28.374,,,,10003,2209,,2018-03-15 00:00:00.000,125.0,2,,10001,,zack knight,14,,1202,1,,2327.0
,,,2018-03-15 19:00:02.522,,,0,1002,,Allan Haight,3,Allan Haight,3056,,1,0,,,2,,,,Claim AA00011,,1,,cc:1002,2018-03-15 18:50:06.013,,2018-03-15 18:50:06.013,,,,10003,301,,2018-03-15 00:00:00.000,2100.0,2,,10001,,Allan Haight,14,,1204,1,,302.0
,,,2018-08-21 07:08:01.756,,,0,1101,,Jeff Jeff,3,Jeff Jeff,3237,,2,0,,,3,,,,Claim AA00190,,1,,cc:1101,2018-03-19 19:45:24.527,,2018-03-19 19:45:24.527,,,,10003,2509,,2018-03-19 00:00:00.000,120.0,2,,10001,,Jeff Jeff,11,Issued to wrong party,1302,1,,2627.0
,,,2018-03-26 16:30:03.125,,,0,1201,,"CARONDELET ST. MARY'S-NORTHWEST, L.L.C",3,"CARONDELET ST. MARY'S-NORTHWEST, L.L.C",3808,,2,0,,,2,,,,Claim AA00226,,1,,cc:1201,2018-03-26 16:11:28.800,,2018-03-26 16:11:28.800,FS123454,,,10003,3101,,2018-03-26 00:00:00.000,200.0,2,,10001,,CARONDELET ST. MARY'S-NORTHWEST,14,,1505,1,,
,,,2018-03-26 16:30:03.578,,,0,1202,,Defa*** Own***,3,Defa*** Own***,3814,,2,0,,,2,,,,Claim AA00227,,1,,cc:1202,2018-03-26 16:23:19.256,,2018-03-26 16:23:19.256,SF345678,,,10003,3103,,2018-03-26 00:00:00.000,300.0,2,,10001,,Defa*** Own***,14,,1507,1,,
,,,2018-04-05 16:00:02.690,,,0,1301,,asdf testClaimant1,3,asdf testClaimant1,4401,,1,0,,,2,,,,Claim AA00275,,1,,cc:1301,2018-04-05 15:43:46.569,,2018-04-05 15:43:46.569,,,,10003,3536,,2018-04-05 00:00:00.000,5.0,2,,10001,,asdf testClaimant1,14,,1802,1,,3709.0
,,,2018-04-09 19:50:57.052,,,0,1402,,Test Test,3,Test Test,4543,,1,1402,,,3,,,,Claim AA00291,,1,,cc:1402,2018-04-09 19:34:36.031,,2018-04-09 19:34:36.031,,,,10003,3711,,2018-04-09 00:00:00.000,6000000.0,2,,10001,,Test Test,7,,1907,1,,3926.0
,,,2018-04-09 19:54:36.505,,,0,1403,,Test Test,3,Test Test,4544,,1,0,,,2,,,,Claim AA00291,,1,,cc:1403,2018-04-09 19:53:46.695,,2018-04-09 19:53:46.695,,,,10003,3711,,2018-04-09 00:00:00.000,1000.0,2,,10001,,Test Test,14,,1909,1,,3926.0
,,2016-11-02 00:00:00.000,2018-04-11 06:35:02.477,,,1,1501,,Corvel Corporation,2,Corvel Corporation,4704,,1,0,,,2,,1.0,,17020949411,,1,,cc:1501,2018-04-10 20:33:21.482,,2018-04-10 20:33:21.482,,,,10003,3601,,2018-04-10 00:00:00.000,3.7600000000000002,2,,10002,,Corvel Corporation,14,,2001,2,,
,,,2018-04-11 20:10:55.356,,,0,1502,,Test TEst,3,Test TEst,4747,,1,0,,,2,,,,Claim AA00297,,1,,cc:1502,2018-04-11 20:10:35.185,,2018-04-11 20:10:35.185,,,,10003,3808,,2018-04-11 00:00:00.000,1000.0,2,,10001,,Test TEst,14,,2007,1,,4029.0
,,,2018-04-13 19:30:03.026,,,0,1601,,HARRITT ADAMS,3,HARRITT ADAMS,4901,,1,0,,,2,,,,Claim AA00301,,1,,cc:1601,2018-04-13 19:20:23.432,,2018-04-13 19:20:23.432,,,,10003,3902,,2018-04-13 00:00:00.000,10.0,2,,10001,,HARRITT ADAMS,14,,2201,1,,4103.0
,,,2018-04-16 13:59:41.834,,,0,1602,,"MOUNTAIN VISTA MEDICAL CENTER, LP",3,"MOUNTAIN VISTA MEDICAL CENTER, LP",4947,,3,0,,,3,,,,Claim AA00312,,1,,cc:1602,2018-04-16 13:55:24.131,,2018-04-16 13:55:24.131,F1234567,,,10003,4017,,2018-04-16 00:00:00.000,5000.0,2,,10001,,"MOUNTAIN VISTA MEDICAL CENTER, LP",9,this was issued to the wrong person,2203,1,,4238.0
,,,2018-04-16 15:12:39.772,,,0,1603,,"MOUNTAIN VISTA MEDICAL CENTER, LP",3,"MOUNTAIN VISTA MEDICAL CENTER, LP",4956,,2,0,,,3,,,,Claim AA00312,,1,,cc:1603,2018-04-16 14:06:04.768,,2018-04-16 14:06:04.768,,,,10003,4017,,2018-04-16 00:00:00.000,2500.0,2,,10001,,"MOUNTAIN VISTA MEDICAL CENTER, LP",9,done,2206,1,,4238.0
,,,2018-04-16 14:12:03.084,,,0,1604,,"MOUNTAIN VISTA MEDICAL CENTER, LP",3,"MOUNTAIN VISTA MEDICAL CENTER, LP",4961,,1,0,,,2,,,,Claim AA00312,,1,,cc:1604,2018-04-16 14:11:48.528,,2018-04-16 14:11:48.528,,,,10003,4017,,2018-04-16 00:00:00.000,150.0,2,,10001,,"MOUNTAIN VISTA MEDICAL CENTER, LP",14,,2207,1,,4238.0
,,,2018-04-16 16:34:40.453,,,0,1606,,"MOUNTAIN VISTA MEDICAL CENTER, LP",3,"MOUNTAIN VISTA MEDICAL CENTER, LP",4967,,2,0,,,177,,,,Claim AA00312,,1,,cc:1606,2018-04-16 14:21:35.603,,2018-04-16 14:21:35.603,,,,10003,4017,,2018-04-16 00:00:00.000,350.0,2,,10001,,"MOUNTAIN VISTA MEDICAL CENTER, LP",10,,2209,1,,4238.0
,,,2018-04-16 15:00:02.481,,,0,1608,,"MOUNTAIN VISTA MEDICAL CENTER, LP",54,"MOUNTAIN VISTA MEDICAL CENTER, LP",4977,,1,0,,,2,,,,Claim AA00312,,1,,cc:1608,2018-04-16 14:34:14.480,,2018-04-16 14:34:14.480,,,,10003,4017,,2018-04-16 00:00:00.000,45.0,2,,10001,,"MOUNTAIN VISTA MEDICAL CENTER, LP",14,,2211,1,,4238.0
,,,2018-04-16 15:30:03.571,,,0,1610,,"MOUNTAIN VISTA MEDICAL CENTER, LP",3,"MOUNTAIN VISTA MEDICAL CENTER, LP",4989,,1,0,,,2,,,,Claim AA00312,,1,,cc:1610,2018-04-16 15:04:20.149,,2018-04-16 15:04:20.149,,,,10003,4017,,2018-04-16 00:00:00.000,230.0,2,,10001,,"MOUNTAIN VISTA MEDICAL CENTER, LP",14,,2213,1,,4238.0
,,,2018-04-16 16:21:05.537,,,0,1701,,HARRITT ADAMS,3,HARRITT ADAMS,5003,,1,0,,10001.0,2,,,,Claim AA00301,,1,,cc:1701,2018-04-16 16:18:30.630,,2018-04-16 16:18:30.630,,,,10003,3902,,2018-04-16 00:00:00.000,12.0,2,,10001,,HARRITT ADAMS,14,,2302,1,,4103.0
,,,2018-04-16 16:21:05.931,,,0,1702,,HARRITT ADAMS,3,HARRITT ADAMS,5004,,1,0,,10002.0,2,,,,Claim AA00301,,1,,cc:1702,2018-04-16 16:19:03.133,,2018-04-16 16:19:03.133,,,,10003,3902,,2018-04-16 00:00:00.000,12.0,2,,10001,,HARRITT ADAMS,14,,2303,1,,4104.0
,,,2018-04-16 16:21:06.259,,,0,1703,,HARRITT ADAMS,3,HARRITT ADAMS,5005,,1,0,,,2,,,,Claim AA00301,,1,,cc:1703,2018-04-16 16:20:42.882,,2018-04-16 16:20:42.882,,,,10003,3902,,2018-04-16 00:00:00.000,12.0,2,,10001,,HARRITT ADAMS,14,,2304,1,,4104.0
,,,2018-04-16 16:28:56.479,,,0,1704,,HARRITT ADAMS,3,HARRITT ADAMS,5006,,1,0,,,2,,,,Claim AA00301,,1,,cc:1704,2018-04-16 16:26:35.219,,2018-04-16 16:26:35.219,,,,10003,3902,,2018-04-16 00:00:00.000,10.0,2,,10001,,HARRITT ADAMS,14,,2305,1,,4103.0
,,,2018-04-16 16:30:02.525,,,0,1705,,HARRITT ADAMS,3,HARRITT ADAMS,5007,,1,0,,,2,,,,Claim AA00301,,1,,cc:1705,2018-04-16 16:29:11.912,,2018-04-16 16:29:11.912,,,,10003,3902,,2018-04-16 00:00:00.000,200.0,2,,10001,,HARRITT ADAMS,14,,2306,1,,4104.0
,,,2018-04-16 16:31:16.096,,,0,1706,,HARRITT ADAMS,3,HARRITT ADAMS,5008,,1,0,,,2,,,,Claim AA00301,,1,,cc:1706,2018-04-16 16:30:56.545,,2018-04-16 16:30:56.545,,,,10003,3902,,2018-04-16 00:00:00.000,15.0,2,,10001,,HARRITT ADAMS,14,,2307,1,,4104.0
,,,2018-04-16 17:00:02.619,,,0,1707,,HARRITT ADAMS,3,HARRITT ADAMS,5009,,1,0,,,2,,,,Claim AA00301,,1,,cc:1707,2018-04-16 16:33:32.188,,2018-04-16 16:33:32.188,,,,10003,3902,,2018-04-16 00:00:00.000,12.56,2,,10001,,HARRITT ADAMS,14,,2308,1,,4103.0
,,,2018-04-16 16:34:40.453,,,0,1708,,"MOUNTAIN VISTA MEDICAL CENTER, LP",177,"MOUNTAIN VISTA MEDICAL CENTER, LP",5010,,0,0,,,177,,,,Claim AA00312,,1,,cc:1708,2018-04-16 14:21:35.603,,2018-04-16 16:34:40.453,,,,10003,4010,,2018-04-16 00:00:00.000,350.0,2,,10001,,"MOUNTAIN VISTA MEDICAL CENTER, LP",14,ransfering amount,2309,1,,
,,,2018-04-16 17:00:02.963,,,0,1709,,HARRITT ADAMS,3,HARRITT ADAMS,5012,,1,0,,,2,,,,Claim AA00301,,1,,cc:1709,2018-04-16 16:34:52.097,,2018-04-16 16:34:52.097,,,,10003,3902,,2018-04-16 00:00:00.000,12.870000000000001,2,,10001,,HARRITT ADAMS,14,,2310,1,,4103.0
,,,2018-04-16 17:00:03.251,,,0,1710,,HARRITT ADAMS,3,HARRITT ADAMS,5013,,1,0,,,2,,,,Claim AA00301,,1,,cc:1710,2018-04-16 16:35:37.515,,2018-04-16 16:35:37.515,,,,10003,3902,,2018-04-16 00:00:00.000,12.0,2,,10001,,HARRITT ADAMS,14,,2311,1,,4103.0
,,,2018-04-16 17:02:29.947,,,0,1711,,Defa*** Own***,3,Defa*** Own***,5018,,1,0,,,2,,,,Claim AA00312,,1,,cc:1711,2018-04-16 17:02:06.984,,2018-04-16 17:02:06.984,,,,10003,4017,,2018-04-16 00:00:00.000,250.0,2,,10001,,Defa*** Own***,14,,2315,1,,4238.0
,,,2018-04-16 17:08:27.875,,,0,1712,,SHAWNA WEBBER,3,SHAWNA WEBBER,5019,,1,0,,,2,,,,Claim AA00308,,1,,cc:1712,2018-04-16 17:08:10.689,,2018-04-16 17:08:10.689,,,,10003,3914,,2018-04-16 00:00:00.000,468.0,2,,10001,,SHAWNA WEBBER,14,,2317,1,,4142.0
,,,2018-04-16 18:30:02.506,,,0,1713,,HARRITT ADAMS,3,HARRITT ADAMS,5020,,1,0,,,2,,,,Claim AA00315,,1,,cc:1713,2018-04-16 18:00:08.499,,2018-04-16 18:00:08.499,,,,10003,4102,,2018-04-16 00:00:00.000,13.0,2,,10001,,HARRITT ADAMS,14,,2318,1,,4305.0
,,,2018-04-16 18:30:02.715,,,0,1714,,HARRITT ADAMS,3,HARRITT ADAMS,5021,,1,0,,,2,,,,Claim AA00315,,1,,cc:1714,2018-04-16 18:00:50.541,,2018-04-16 18:00:50.541,,,,10003,4102,,2018-04-16 00:00:00.000,12.0,2,,10001,,HARRITT ADAMS,14,,2319,1,,4305.0
,,,2018-04-16 18:30:02.911,,,0,1715,,HARRITT ADAMS,3,HARRITT ADAMS,5022,,1,0,,,2,,,,Claim AA00315,,1,,cc:1715,2018-04-16 18:03:04.957,,2018-04-16 18:03:04.957,,,,10003,4102,,2018-04-16 00:00:00.000,10.0,2,,10001,,HARRITT ADAMS,14,,2320,1,,4305.0
,,,2018-04-16 18:30:03.111,,,0,1716,,HARRITT ADAMS,3,HARRITT ADAMS,5023,,1,0,,10001.0,2,,,,Claim AA00315,,1,,cc:1716,2018-04-16 18:06:34.121,,2018-04-16 18:06:34.121,,,,10003,4102,,2018-04-16 00:00:00.000,15.0,2,,10001,,HARRITT ADAMS,14,,2321,1,,4305.0
,,,2018-04-16 18:30:03.397,,,0,1717,,HARRITT ADAMS,3,HARRITT ADAMS,5024,,2,0,,,2,,,,Claim AA00315,,1,,cc:1717,2018-04-16 18:08:08.185,,2018-04-16 18:08:08.185,,,,10003,4102,,2018-04-16 00:00:00.000,12.99,2,,10001,,HARRITT ADAMS,14,,2322,1,,4305.0
,,,2018-04-16 18:30:03.630,,,0,1718,,MICHAEL ZAMIN,3,MICHAEL ZAMIN,5025,,1,0,,,2,,,,Claim AA00315,,1,,cc:1718,2018-04-16 18:08:50.542,,2018-04-16 18:08:50.542,,,,10003,4102,,2018-04-16 00:00:00.000,15.0,2,,10001,,MICHAEL ZAMIN,14,,2323,1,,4305.0
,,,2018-04-16 18:30:03.849,,,0,1719,,HARRITT ADAMS,3,HARRITT ADAMS,5026,,1,0,,,2,,,,Claim AA00315,,1,,cc:1719,2018-04-16 18:09:47.945,,2018-04-16 18:09:47.945,,,,10003,4102,,2018-04-16 00:00:00.000,11.99,2,,10001,,HARRITT ADAMS,14,,2324,1,,4305.0
,,2016-11-02 00:00:00.000,2018-04-17 06:35:02.509,,,1,1721,,Corvel Corporation,2,Corvel Corporation,5054,,1,0,,,2,,103.0,,17020949411,,1,,cc:1721,2018-04-17 03:54:24.059,,2018-04-17 03:54:24.059,,,,10003,4107,,2018-04-17 00:00:00.000,2123.76,2,,10002,,Corvel Corporation,14,,2330,2,,
,,,2018-04-17 15:30:03.129,,,0,1722,,HARRITT ADAMS,3,HARRITT ADAMS,5156,,1,0,,,2,,,,Claim AA00315,,1,,cc:1722,2018-04-17 15:00:17.361,,2018-04-17 15:00:17.361,,,,10003,4102,,2018-04-17 00:00:00.000,45.89,2,,10001,,HARRITT ADAMS,14,,2331,1,,4305.0
,,,2018-04-17 15:30:05.106,,,0,1723,,HARRITT ADAMS,3,HARRITT ADAMS,5157,,1,0,,,2,,,,Claim AA00315,,1,,cc:1723,2018-04-17 15:01:55.528,,2018-04-17 15:01:55.528,,,,10003,4102,,2018-04-17 00:00:00.000,11.1,2,,10001,,HARRITT ADAMS,14,,2333,1,,4305.0
,,,2018-04-17 17:00:02.726,,,0,1801,,HARRITT ADAMS,3,HARRITT ADAMS,5209,,1,0,,,2,,,,Claim AA00301,,1,,cc:1801,2018-04-17 16:36:53.244,,2018-04-17 16:36:53.244,,,,10003,3902,,2018-04-17 00:00:00.000,98.0,2,,10001,,HARRITT ADAMS,14,,2401,1,,4103.0
,,,2018-04-17 19:30:02.508,,,0,1802,,HARRITT ADAMS,3,HARRITT ADAMS,5212,,1,0,,10002.0,2,,,,Claim AA00301,,1,,cc:1802,2018-04-17 19:03:50.616,,2018-04-17 19:03:50.616,,,,10003,3902,,2018-04-17 00:00:00.000,60.0,2,,10001,,HARRITT ADAMS,14,,2402,1,,4103.0
,,,2018-04-17 19:30:03.276,,,0,1803,,HARRITT ADAMS,3,HARRITT ADAMS,5216,,1,0,,,2,,,,Claim AA00339,,1,,cc:1803,2018-04-17 19:15:26.464,,2018-04-17 19:15:26.464,,,,10003,4203,,2018-04-17 00:00:00.000,10.0,2,,10001,,HARRITT ADAMS,14,,2404,1,,4508.0
,,,2018-04-17 19:30:03.551,,,0,1804,,HARRITT ADAMS,3,HARRITT ADAMS,5217,,1,0,,,2,,,,Claim AA00339,,1,,cc:1804,2018-04-17 19:15:50.968,,2018-04-17 19:15:50.968,,,,10003,4203,,2018-04-17 00:00:00.000,13.0,2,,10001,,HARRITT ADAMS,14,,2405,1,,4508.0
,,,2018-04-17 19:30:03.727,,,0,1805,,HARRITT ADAMS,3,HARRITT ADAMS,5218,,1,0,,,2,,,,Claim AA00339,,1,,cc:1805,2018-04-17 19:17:13.988,,2018-04-17 19:17:13.988,,,,10003,4203,,2018-04-17 00:00:00.000,15.0,2,,10001,,HARRITT ADAMS,14,,2407,1,,4508.0
,,,2018-04-17 19:30:03.924,,,0,1806,,HARRITT ADAMS,3,HARRITT ADAMS,5219,,1,0,,,2,,,,Claim AA00339,,1,,cc:1806,2018-04-17 19:17:50.664,,2018-04-17 19:17:50.664,,,,10003,4203,,2018-04-17 00:00:00.000,15.0,2,,10001,,HARRITT ADAMS,14,,2408,1,,4508.0
,,2016-11-02 00:00:00.000,2018-04-18 06:35:02.917,,,1,1808,,Corvel Corporation,2,Corvel Corporation,5235,,1,0,,,2,,203.0,,17020949411,,1,,cc:1808,2018-04-17 22:48:01.378,,2018-04-17 22:48:01.378,,,,10003,4206,,2018-04-17 00:00:00.000,120.0,2,,10002,,Corvel Corporation,14,,2416,2,,
,,2016-11-02 00:00:00.000,2018-04-18 06:35:02.917,,,1,1809,,Corvel Corporation,2,Corvel Corporation,5237,,1,0,,,2,,204.0,,17020949411,,1,,cc:1809,2018-04-17 22:48:01.784,,2018-04-17 22:48:01.784,,,,10003,3906,,2018-04-17 00:00:00.000,3.59,2,,10002,,Corvel Corporation,14,,2417,2,,
,,2016-11-02 00:00:00.000,2018-04-18 06:35:02.917,,,1,1810,,Corvel Corporation,2,Corvel Corporation,5239,,1,0,,,2,,205.0,,17020949411,,1,,cc:1810,2018-04-17 22:48:02.253,,2018-04-17 22:48:02.253,,,,10003,4206,,2018-04-17 00:00:00.000,120.0,2,,10002,,Corvel Corporation,14,,2418,2,,
,,2016-11-02 00:00:00.000,2018-04-18 06:35:06.515,,,1,1811,,Corvel Corporation,2,Corvel Corporation,5240,,1,0,,,2,,206.0,,17020949411,,1,,cc:1811,2018-04-17 22:48:17.671,,2018-04-17 22:48:17.671,,,,10003,4206,,2018-04-17 00:00:00.000,120.0,2,,10002,,Corvel Corporation,14,,2419,2,,
,,2016-11-02 00:00:00.000,2018-04-18 06:35:06.515,,,1,1812,,Corvel Corporation,2,Corvel Corporation,5241,,1,0,,,2,,207.0,,17020949411,,1,,cc:1812,2018-04-17 22:48:17.887,,2018-04-17 22:48:17.887,,,,10003,3906,,2018-04-17 00:00:00.000,3.59,2,,10002,,Corvel Corporation,14,,2420,2,,
,,2016-11-02 00:00:00.000,2018-04-18 06:35:06.515,,,1,1813,,Corvel Corporation,2,Corvel Corporation,5242,,1,0,,,2,,208.0,,17020949411,,1,,cc:1813,2018-04-17 22:48:18.056,,2018-04-17 22:48:18.056,,,,10003,4206,,2018-04-17 00:00:00.000,120.0,2,,10002,,Corvel Corporation,14,,2421,2,,
,,2016-11-02 00:00:00.000,2018-04-18 06:35:07.429,,,1,1814,,Corvel Corporation,2,Corvel Corporation,5245,,1,0,,,2,,211.0,,17020949411,,1,,cc:1814,2018-04-18 03:09:21.837,,2018-04-18 03:09:21.837,,,,10003,4206,,2018-04-18 00:00:00.000,500.76,2,,10002,,Corvel Corporation,14,,2422,2,,
,,,2018-04-18 15:38:57.394,,,0,1901,,HARRITT ADAMS,3,HARRITT ADAMS,5401,,1,0,,,2,,,,Claim AA00339,,1,,cc:1901,2018-04-18 15:37:30.448,,2018-04-18 15:37:30.448,,,,10003,4203,,2018-04-18 00:00:00.000,10.0,2,,10001,,HARRITT ADAMS,14,,2501,1,,4508.0
